"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id"
"5",2016,"Houston","AAC",1,"24","Julks, Corey","So","INF","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"6",2016,"Houston","AAC",1,"4","Taylor, Zac","So","OF","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"7",2016,"Houston","AAC",1,"2","Pyeatt, Michael","Sr","OF","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"8",2016,"Houston","AAC",1,"31","Campbell, Jacob","Sr","C","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"9",2016,"Houston","AAC",1,"12","Reyes, Jose","Jr","SS","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"10",2016,"Houston","AAC",1,"8","Vidales, Josh","Sr","INF","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"11",2016,"Houston","AAC",1,"7","Casey, Clay","So","OF","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"12",2016,"Houston","AAC",1,"1","Grilli, Robert","Sr","INF","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"13",2016,"Houston","AAC",1,"36","Hernandez, Nick","Jr","P","29",29,NA,1.4,51.1,27,9,8,11,67,NA,"190","175",7,1,NA,2,1,NA,NA,44,13,2,2,"638",32,50,3,NA,11,15,288,823
"14",2016,"Houston","AAC",1,"28","Maxwell, Bubba","Sr","P","19",18,1,2.89,43.2,41,21,14,13,45,NA,"189","169",6,1,NA,1,3,1,NA,17,3,3,3,"576",30,52,1,1,3,10,288,823
"15",2016,"Houston","AAC",1,"18","Padgett, Grayson","Fr","OF","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"16",2016,"Houston","AAC",1,"42","King, John","Jr","P","17",17,10,3.51,59,61,36,23,11,42,NA,"255","230",8,NA,NA,3,1,7,NA,9,5,4,3,"687",91,35,6,4,NA,14,288,823
"17",2016,"Houston","AAC",1,"13","Lantrip, Andrew","Jr","P","15",15,14,2.6,90,80,30,26,5,84,1,"357","340",3,4,2,9,3,7,NA,2,2,5,NA,"1,134",76,100,6,6,NA,18,288,823
"18",2016,"Houston","AAC",1,"21","Romero, Seth","So","P","15",15,13,2.29,94.1,60,32,24,28,113,NA,"370","323",10,NA,5,2,4,9,NA,1,1,7,3,"1,261",84,67,6,4,NA,29,288,823
"19",2016,"Houston","AAC",1,"29","Cumbie, Trey","Fr","P","15",15,5,1.29,56,42,12,8,9,42,NA,"210","196",6,NA,NA,3,NA,2,NA,5,NA,3,NA,"628",51,61,5,2,NA,4,288,823
"20",2016,"Houston","AAC",1,"45","Ullom, Mitch","Fr","P","14",14,12,2.88,78,71,31,25,14,39,1,"316","295",4,2,NA,6,4,4,NA,2,2,3,NA,"951",117,63,7,4,NA,8,288,823
"21",2016,"Houston","AAC",1,"26","Lawson, Tanner","Fr","P","12",12,NA,1.35,13.1,10,4,2,7,9,NA,"58","48",1,NA,1,NA,1,2,NA,8,2,NA,1,"203",15,13,NA,NA,NA,2,288,823
"22",2016,"Houston","AAC",1,"19","Morris, Caleb","Fr","OF","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"23",2016,"Houston","AAC",1,"27","Dickerson, Derek","So","INF","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"24",2016,"Houston","AAC",1,"17","Stading, Jordan","Jr","INF","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"25",2016,"Houston","AAC",1,"14","Kasowski, Marshall","Jr","P","4",4,4,4.32,16.2,24,9,8,6,18,NA,"74","67",2,1,NA,2,1,NA,NA,NA,NA,1,NA,"287",15,11,2,2,NA,4,288,823
"26",2016,"Houston","AAC",1,"47","Fletcher, Aaron","So","P","4",4,NA,1.08,8.1,7,2,1,0,12,NA,"32","31",NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,"118",7,5,NA,NA,1,6,288,823
"27",2016,"Houston","AAC",1,"15","Reed, Chris","So","P","4",4,NA,4.5,6,6,8,3,4,3,NA,"30","25",2,NA,NA,1,NA,NA,NA,5,2,1,NA,"112",9,6,NA,NA,NA,1,288,823
"28",2016,"Houston","AAC",1,"32","Wingate, Allonte","Fr","2B","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"29",2016,"Houston","AAC",1,"34","Jackson, Nathan","Jr","P","4",3,NA,NA,NA,0,2,2,6,NA,NA,"6","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,288,823
"30",2016,"Houston","AAC",1,"40","Bond, Nolan","Fr","P","4",4,NA,0,5.1,4,1,NA,0,1,NA,"20","19",NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,"64",10,5,NA,NA,NA,1,288,823
"31",2016,"Houston","AAC",1,"23","Marucci, Gino","So","OF","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"32",2016,"Houston","AAC",1,"35","Tauzin, Jon","Jr","C","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"33",2016,"Houston","AAC",1,"37","Kinzy, Jud","Jr","P","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"34",2016,"Houston","AAC",1,"-","Totals","-","-","-",NA,NA,2.48,522,433,197,144,114,475,8,"2,107","1,918",49,9,8,29,18,33,NA,NA,NA,30,12,"",537,468,NA,NA,NA,112,288,823
"35",2016,"Houston","AAC",1,"-","Opponent Totals","-","-","-",NA,NA,4.32,510.2,536,289,245,211,336,2,"2,308","1,976",80,13,12,37,47,54,7,NA,NA,36,22,"",578,539,NA,NA,NA,107,288,823
"1",2016,"Memphis","AAC",1,"9","Little, Jake","Sr","OF","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"2",2016,"Memphis","AAC",1,"3","Grudzielanek, Brandon","Jr","INF","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"3",2016,"Memphis","AAC",1,"13","Carrier, Chris","Jr","OF","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"4",2016,"Memphis","AAC",1,"12","Schritenthal, Zach","Jr","INF","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"5",2016,"Memphis","AAC",1,"36","Turner, Trent","Jr","INF","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"6",2016,"Memphis","AAC",1,"10","Tubbs, Darien","Jr","OF","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"7",2016,"Memphis","AAC",1,"2","Elliott, Jacob","So","INF","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
"8",2016,"Memphis","AAC",1,"8","Neel, Colton","Fr","OF","48",17,NA,3.47,23.1,18,10,9,13,21,NA,"103","82",5,NA,NA,1,6,6,NA,18,7,2,NA,"372",18,25,NA,1,NA,4,404,823
"9",2016,"Memphis","AAC",1,"1","Overbey, Jake","Sr","INF","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,404,823
